ID,Mean,SD
295456141,4406.714285714285,1153.8045349026431
31156903,411.6666666666667,88.91077977705169
106701619,2035.4,734.1163969089141
1230406650,NaN,-0
2830502330,18646.333333333332,3978.1641913492376
158066152,1991.2941176470588,393.78940512440823
2830493868,59000,NaN
1051574,11712.75,3843.9664676666284
69964719,9993.6,5616.732973891495
149598968,9999,1731.1848543699775
3016590511,168.69230769230768,23.882439996175854
46363750,3011.6666666666665,1330.1910890294423
122278276,16059.25,2823.1886101660702
18803866,1770.0487804878048,2200.9481701214536
67798397,6349.6,1655.687259116286
204162122,4332.916666666667,1063.3996476424377
1744198126,1453.5625,302.1130890054039
57038857,NaN,-0
136803077,8872.16,1363.3890450503354
3016722037,195.06593406593407,118.7419987664949
78033496,2900.4,969.5926063157774
42840130,1254.9310344827586,309.0277261204758
140481297,1936.0588235294117,393.9916672006267
153581784,303.6808510638298,42.495578482523236
302502491,18888,NaN
376812736,27891.153846153848,7659.102175909761
2470988571,234.1098901098901,33.133216146489794
1286490,241866.66666666666,115816.46399943893
16954081,25000,NaN
29283289,1027.8,167.45413017983677
65082275,6404.25,785.5895344686477
164204164,4661.083333333333,590.3976253853043
477859537,33598.625,8730.891673289407
22970114,5990.414634146341,1676.8139726220343
138859529,63259.86666666667,25163.194837093397
158066212,13974.25,3632.416860714089
12313606,3885.5714285714284,1423.8178555258694
102612531,55555,NaN
115300940,3044.6521739130435,506.0612259666585
114549522,1592.8148148148148,450.68862157617605
439985494,201333.33333333334,12662.279942148387
19704937,5173.555555555556,273.3350101574582
175134660,371.0769230769231,47.28806068936095
507783603,2876.4137931034484,343.21569432471165
4773591735,190.57142857142858,142.07964455482494
4786869155,180.14285714285714,41.32138844299817
48596324,4916,724.1645186005733
52564187,5646,1236.6570529725154
93119240,34333.333333333336,36350.14901390823
105341547,12450.107142857143,4273.140187516589
106689944,309999.6666666667,17320.796758040124
226189986,38917.333333333336,12879.047661479735
233520257,223750,61871.84335382291
53917288,24070.25,11246.97963529172
253153907,692667,1072001.0419237008
286511038,13979.666666666666,2258.273750751519
35685137,16666,5032.163351879587
62682888,10722.222222222223,9853.882341211734
116693735,117500,63786.75411086537
218674480,5522.111111111111,2749.84269752128
207206653,83500,23334.52377915607
64485985,5610.428571428572,551.672867178505
99254437,495000,572756.4927611036
24975496,32410.6,5758.91845748835
55628694,5679.8,831.4687005534242
141742418,92770.37837837837,22065.444293121604
97852159,24999.333333333332,8659.676745314073
107458531,13968.555555555555,5496.990269936611
51243520,1634.4,348.81035917338613
97926101,3957,690.1869312005263
108829742,14099.6,3008.5878414964054
835063865,2523.6666666666665,363.05308381374016
891980433,110000,NaN
323191430,5640.56,545.6366373329416
207207466,150000,NaN
1380767576,1082.8064516129032,136.36236512929773
1073690,218557.75,36937.22948191973
100933335,13428.42857142857,9782.562238615246
233520425,19358.833333333332,19319.99044717124
2257539462,6310.894736842105,2017.1316514831658
1028720,13341.82142857143,1794.1349726998103
62720797,167356.33333333334,288077.86780718394
61894723,2748.8,227.68223470442308
125378514,5793.2,1359.3434812437952
135472231,5997.571428571428,959.9187217577082
151786902,8860.32098765432,1070.308610018163
10161556185,703.4666666666667,121.50124435968704
25687227,13747.6875,2113.5881566268613
29283273,175000,NaN
30394594,36875.36363636364,11938.907540246111
14861078,3393.5,907.8510340358708
69344107,110000,NaN
187483689,427.54430379746833,69.09243111694735
232503325,6858.1,1222.8020840847898
23306097,7149.6,2694.5780374670912
25926517,20249.625,11003.359901639134
33872761,2993.0833333333335,2727.559497170696
52489477,2600,529.1502622129182
51244757,6662,2069.925602527782
60674654,25838.333333333332,14106.449742345992
52463255,6537.4,4863.850100486239
118277164,5514.5,2004.4891369124455
52504099,4566.166666666667,966.4300112613778
31616411,167138.25,92857.67576736274
33070696,2589242.5714285714,431076.0169076359
95954984,886.7272727272727,153.62173141725867
136172656,3338.8,1865.7504388315174
187845352,838.046875,160.53318202092024
2568804274,20287.333333333332,3947.732767044902
23301478,13990,NaN
76692637,220.43333333333334,39.840089964275705
553971858,154577.6,52826.371042461265
1744246930,67297.8,19697.7450283021
17450053,5982.352272727273,1063.0286491719276
79446473,21720.285714285714,2807.180003389268
124727442,3826.2727272727275,1667.7936977281747
151789690,21435.787234042553,28114.93447010138
277861858,3627.3333333333335,504.61222735879085
